what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390259603962
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390259605240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259620140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259632060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390259633880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390259634824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259660137
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259728954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259733668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259798891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259802420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259803292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259805299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259806106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390259811811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259813666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259817092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259824594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259828776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1390259834846
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1390259835125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390259835498
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineStart",1390259835741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390259835935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390259836119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390259837357
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1390259841003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259841791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259889924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390259893611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260106081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260107109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260110235
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1390260112289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390260120517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260124145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260143110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260143774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390260147110
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390260154890
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390260155065
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390260155826
